,Model_type,mape,mse,me,mae,mpe,rmse,R2 score,Adj R2 score,AIC,BIC
598,GBM_grid__1_AutoML_20201106_170326_model_13Outlier_removed_full_lag,13.439525853429915,0.0052403706910076385,-0.010662790028758116,0.05057503236496024,0.0063954514635835855,0.07239040468879587,0.3570594157292375,-0.01311849642665619,-1650.7475098163038,-1132.0611617898326
301,gradient_boosting_regressor_Outliers_Removed_shuffled_crosscv_model,13.4452028969209,0.004540036583662611,0.001264744612844196,0.047982927293469674,3.5540395170954064,0.06721271863131717,0.39303914981901766,,,
361,gradient_boosting_regressor_OutliersRemoved_extra_features_shuffled_crosscv_model,13.598645008285569,0.0046204346634793015,0.00144792401416916,0.04844323930753684,3.6840651529060677,0.06774300957399908,0.37417854760662667,,,
600,GBM_3_AutoML_20201106_170326Outlier_removed_full_lag,13.615378159559615,0.005273590786554408,-0.009144562225886136,0.051146775198269746,0.010698109244549931,0.0726194931582038,0.35298364534966864,-0.01954092247930994,-1648.4409814443866,-1129.754633417915
250,CategoricalGradientBoosting_Outliers_Removed_crosscv_model,13.62643991641291,0.004750261884027205,9.195617957375863e-05,0.04849711796221136,3.7503866929925733,0.06860846651132146,0.3786030454386574,,,
587,GBM_grid__1_AutoML_20201106_170326_model_9Outlier_removed_full_lag,13.627569649003455,0.005019879188598162,-0.005974155407614604,0.0506695244568981,0.0164833085502305,0.07085110576835171,0.3841114972984192,0.029509026045993925,-1666.4375352283034,-1147.7511872018322
436,cnn_lstm_encoder_decoder,13.628688667048838,0.0050473882485827975,-0.007280898555293858,0.05097148072611497,0.008144313436095795,0.07104497342235268,0.41490635790120856,-0.5827533138826282,-855.2434817709654,-408.8175072395878
355,random_forest_OutliersRemoved_extra_features_shuffled_crosscv_model,13.670831161221523,0.00471042080254716,0.0017006560528843035,0.04840987966750977,4.024010935308846,0.0684818687174804,0.37623789439136923,,,
589,XGBoost_grid__1_AutoML_20201106_170326_model_13Outlier_removed_full_lag,13.676154792129463,0.00504246251868968,-0.007882285346976572,0.05123624642153062,0.012842004631689932,0.07101029868047085,0.381340750666175,0.02514300104973033,-1664.7991632542094,-1146.1128152277379
593,GBM_grid__1_AutoML_20201106_170326_model_5Outlier_removed_full_lag,13.713567953811188,0.005184556021423325,-0.0048136010281170025,0.050648736372484376,0.023569597782335156,0.07200386115635275,0.36390731225972484,-0.002327871590736663,-1654.6559399896528,-1135.9695919631813
